provincia,municipio,lat,lon,fecha,tmax,tmin,precip,viento
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-12,11.7,1.3,0.0,20.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-13,15.9,4.9,0.0,20.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-14,14.3,6.2,3.7,18.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-15,13.3,7.2,0.0,19.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-16,10.1,4.5,0.1,32.1
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-17,13.6,2.0,0.0,25.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-18,15.4,5.0,0.0,21.6
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-19,16.3,1.6,0.0,15.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-20,18.8,6.9,0.0,14.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-21,18.5,7.7,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-22,17.9,5.5,0.0,13.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-23,19.5,8.9,7.8,14.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-24,18.1,13.0,0.6,21.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-25,18.3,12.0,3.1,24.4
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-26,23.2,15.1,11.6,16.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-27,22.2,16.1,21.6,19.7
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-28,15.9,8.3,0.5,27.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-29,16.3,4.6,0.0,15.5
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-30,19.4,4.8,0.0,12.0
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-07-31,18.6,8.2,0.2,10.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-01,18.7,5.6,0.0,11.9
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-02,16.8,6.6,0.0,16.2
buenos aires,mercedes,-34.6973213261429,-59.4204811393568,2022-08-03,17.2,7.6,0.1,19.8
